Price,Adj Close,Close,High,Low,Open,Volume
Ticker,ADRO.JK,ADRO.JK,ADRO.JK,ADRO.JK,ADRO.JK,ADRO.JK
Date,,,,,,
2008-07-14,396.5835876464844,1640.0,1760.0,1500.0,1500.0,1268784500
2008-07-21,394.1653137207031,1630.0,1690.0,1600.0,1680.0,272362000
2008-07-28,394.1653137207031,1630.0,1710.0,1620.0,1670.0,245766000
2008-08-04,386.9106750488281,1600.0,1630.0,1540.0,1590.0,232987000
2008-08-11,369.9835205078125,1530.0,1600.0,1500.0,1540.0,163747500
2008-08-18,377.23797607421875,1560.0,1570.0,1490.0,1530.0,120883000
2008-08-25,372.4017028808594,1540.0,1560.0,1520.0,1540.0,137764000
2008-09-01,350.6379089355469,1450.0,1550.0,1440.0,1530.0,123984000
2008-09-08,336.12884521484375,1390.0,1480.0,1340.0,1450.0,149178000
2008-09-15,365.14703369140625,1510.0,1530.0,1240.0,1360.0,225616503
2008-09-22,348.2197265625,1440.0,1540.0,1430.0,1510.0,167461500
2008-09-29,338.54693603515625,1400.0,1450.0,1400.0,1400.0,17789500
2008-10-06,195.87356567382812,810.0,1350.0,780.0,1210.0,9
2008-10-13,178.94622802734375,740.0,810.0,660.0,730.0,89546003
2008-10-20,169.27346801757812,700.0,830.0,630.0,790.0,29570003
2008-10-27,164.43711853027344,680.0,680.0,490.0,630.0,25184009
2008-11-03,159.60069274902344,660.0,850.0,630.0,810.0,62480506
2008-11-10,135.4187469482422,560.0,690.0,560.0,620.0,18550009
2008-11-17,116.07323455810547,480.0,560.0,460.0,530.0,46510003
2008-11-24,125.74597930908203,520.0,570.0,465.0,470.0,51334506
2008-12-01,114.86412048339844,475.0,540.0,460.0,510.0,58282500
2008-12-08,120.90962219238281,500.0,550.0,475.0,475.0,95679503
2008-12-15,116.07323455810547,480.0,540.0,480.0,490.0,54129003
2008-12-22,117.28236389160156,485.0,500.0,475.0,485.0,10134500
2008-12-29,117.28236389160156,485.0,495.0,485.0,485.0,2691000
2009-01-05,123.32782745361328,510.0,550.0,485.0,520.0,42645003
2009-01-12,162.01893615722656,670.0,750.0,510.0,550.0,183299506
2009-01-19,154.76426696777344,640.0,680.0,600.0,650.0,78970000
2009-01-26,178.94622802734375,740.0,760.0,640.0,640.0,113660503
2009-02-02,210.38275146484375,870.0,870.0,710.0,730.0,85477506
2009-02-09,203.128173828125,840.0,890.0,810.0,830.0,36780003
2009-02-16,191.0371856689453,790.0,850.0,770.0,830.0,40265000
2009-02-23,186.2008514404297,770.0,820.0,760.0,800.0,39688500
2009-03-02,181.3644256591797,750.0,800.0,710.0,730.0,29822006
2009-03-09,186.2008514404297,770.0,790.0,750.0,750.0,21253000
2009-03-16,188.61898803710938,780.0,790.0,730.0,750.0,36179000
2009-03-23,227.31007385253906,940.0,1000.0,790.0,820.0,111194003
2009-03-30,215.21913146972656,890.0,940.0,880.0,890.0,124167003
2009-04-06,217.6372833251953,900.0,940.0,890.0,910.0,117635500
2009-04-13,229.72824096679688,950.0,1000.0,910.0,950.0,311954500
2009-04-20,241.81924438476562,1000.0,1060.0,940.0,980.0,476714500
2009-04-27,256.3283996582031,1060.0,1090.0,980.0,1020.0,369195500
2009-05-04,285.3467712402344,1180.0,1210.0,1080.0,1140.0,432723000
2009-05-11,258.74658203125,1070.0,1240.0,1010.0,1180.0,191173500
2009-05-18,309.5285339355469,1280.0,1280.0,1000.0,1080.0,61834503
2009-05-25,324.0378723144531,1340.0,1360.0,1220.0,1310.0,456980503
