Price,Adj Close,Close,High,Low,Open,Volume
Ticker,BBCA.JK,BBCA.JK,BBCA.JK,BBCA.JK,BBCA.JK,BBCA.JK
Date,,,,,,
2004-06-07,104.21105194091797,180.0,182.5,175.0,175.0,1094860000
2004-06-14,102.76364135742188,177.5,182.5,175.0,180.0,1173840000
2004-06-21,105.65840148925781,182.5,182.5,175.0,177.5,1203550000
2004-06-28,104.21105194091797,180.0,187.5,175.0,182.5,1369070000
2004-07-05,125.00064849853516,190.0,190.0,180.0,180.0,1875060000
2004-07-12,125.00064849853516,190.0,195.0,182.5,190.0,1130760000
2004-07-19,125.00064849853516,190.0,190.0,187.5,187.5,452650000
2004-07-26,123.35587310791016,187.5,187.5,182.5,187.5,1226230000
2004-08-02,123.35587310791016,187.5,190.0,185.0,185.0,867340000
2004-08-09,120.06636047363281,182.5,185.0,180.0,185.0,743070000
2004-08-16,120.06636047363281,182.5,185.0,180.0,182.5,440330000
2004-08-23,120.06636047363281,182.5,185.0,177.5,182.5,578800000
2004-08-30,125.00064849853516,190.0,192.5,177.5,180.0,2250070000
2004-09-06,123.35587310791016,187.5,192.5,180.0,190.0,2761920000
2004-09-13,131.5796356201172,200.0,205.0,187.5,187.5,3631620000
2004-09-20,134.8690948486328,205.0,210.0,200.0,200.0,2746120000
2004-09-27,133.22434997558594,202.5,205.0,197.5,202.5,1468880000
2004-10-04,148.02703857421875,225.0,230.0,202.5,202.5,3719280000
2004-10-11,149.67181396484375,227.5,230.0,220.0,225.0,1448460000
2004-10-18,148.02703857421875,225.0,227.5,217.5,227.5,1214300000
2004-10-25,157.89552307128906,240.0,242.5,222.5,225.0,1203070000
2004-11-01,164.47451782226562,250.0,260.0,240.0,240.0,1536900000
2004-11-08,180.9219207763672,275.0,282.5,245.0,250.0,1023290000
2004-11-15,180.9219207763672,275.0,275.0,275.0,275.0,0
2004-11-22,172.69821166992188,262.5,282.5,257.5,275.0,1549480000
2004-11-29,182.6597900390625,272.5,280.0,262.5,262.5,1871630000
2004-12-06,179.3082275390625,267.5,272.5,265.0,270.0,974100000
2004-12-13,189.3629150390625,282.5,285.0,250.0,265.0,2452800000
2004-12-20,196.0660400390625,292.5,295.0,280.0,280.0,1335570000
2004-12-27,199.4175262451172,297.5,305.0,290.0,290.0,825940000
2005-01-03,197.74176025390625,295.0,315.0,292.5,295.0,1736700000
2005-01-10,189.3629150390625,282.5,295.0,272.5,295.0,3457570000
2005-01-17,192.7144012451172,287.5,287.5,280.0,282.5,1357160000
2005-01-24,196.0660400390625,292.5,295.0,285.0,287.5,1534670000
2005-01-31,201.09327697753906,300.0,302.5,287.5,290.0,1582030000
2005-02-07,201.09327697753906,300.0,302.5,297.5,300.0,738290000
2005-02-14,222.87844848632812,332.5,337.5,295.0,300.0,2563430000
2005-02-21,221.20269775390625,330.0,337.5,325.0,332.5,1173470000
2005-02-28,224.55419921875,335.0,340.0,317.5,330.0,1785130000
2005-03-07,222.87844848632812,332.5,350.0,332.5,335.0,1960170000
2005-03-14,248.0150604248047,370.0,380.0,327.5,335.0,2741110000
2005-03-21,241.31198120117188,360.0,390.0,350.0,370.0,3094520000
2005-03-28,227.90579223632812,340.0,360.0,325.0,360.0,5066040000
2005-04-04,229.58160400390625,342.5,345.0,332.5,342.5,2311440000
2005-04-11,227.90579223632812,340.0,345.0,332.5,340.0,2148150000
2005-04-18,222.87844848632812,332.5,342.5,325.0,335.0,2166660000
2005-04-25,206.12060546875,307.5,332.5,297.5,332.5,4792140000
2005-05-02,219.5269317626953,327.5,330.0,307.5,310.0,1047550000
2005-05-09,219.5269317626953,327.5,327.5,317.5,327.5,826630000
2005-05-16,219.5269317626953,327.5,330.0,322.5,325.0,599390000
2005-05-23,219.5269317626953,327.5,332.5,325.0,325.0,553080000
2005-05-30,239.63621520996094,357.5,360.0,327.5,327.5,1421480000
2005-06-06,234.60887145996094,350.0,357.5,345.0,355.0,614690000
2005-06-13,246.33929443359375,367.5,367.5,347.5,347.5,1247110000
2005-06-20,242.98776245117188,362.5,370.0,357.5,367.5,681900000
2005-06-27,244.66351318359375,365.0,365.0,355.0,360.0,593830000
2005-07-04,236.28465270996094,352.5,362.5,345.0,362.5,1037230000
2005-07-11,236.28465270996094,352.5,355.0,350.0,352.5,563210000
2005-07-18,234.60887145996094,350.0,360.0,347.5,355.0,805120000
2005-07-25,250.30416870117188,365.0,367.5,350.0,350.0,647220000
2005-08-01,252.0185546875,367.5,382.5,362.5,365.0,761450000
2005-08-08,240.01773071289062,350.0,365.0,350.0,365.0,825940000
2005-08-15,228.01686096191406,332.5,350.0,327.5,350.0,2539910000
2005-08-22,233.16001892089844,340.0,350.0,325.0,330.0,1441590000
2005-08-29,238.30335998535156,347.5,350.0,310.0,337.5,1369070000
2005-09-05,245.16099548339844,357.5,360.0,337.5,345.0,1396240000
2005-09-12,234.87451171875,342.5,365.0,340.0,357.5,1795730000
2005-09-19,231.4456787109375,337.5,350.0,332.5,350.0,1563940000
2005-09-26,236.5889434814453,345.0,350.0,327.5,337.5,1017740000
2005-10-03,234.87451171875,342.5,360.0,337.5,345.0,1238940000
2005-10-10,234.77581787109375,337.5,347.5,332.5,347.5,791080000
2005-10-17,231.2976531982422,332.5,337.5,325.0,337.5,942380000
2005-10-24,224.34140014648438,322.5,340.0,317.5,332.5,1322410000
2005-10-31,217.38499450683594,312.5,325.0,302.5,322.5,714360000
2005-11-07,208.68959045410156,300.0,312.5,292.5,312.5,1459730000
2005-11-14,220.8631591796875,317.5,320.0,292.5,302.5,1619990000
2005-11-21,229.55862426757812,330.0,332.5,312.5,315.0,1935460000
2005-11-28,233.0367889404297,335.0,335.0,327.5,330.0,1762530000
2005-12-05,239.99310302734375,345.0,357.5,332.5,335.0,2035750000
2005-12-12,236.51492309570312,340.0,350.0,337.5,345.0,1018990000
2005-12-19,234.77581787109375,337.5,342.5,332.5,340.0,472140000
2005-12-26,236.51492309570312,340.0,340.0,332.5,337.5,135300000
2006-01-02,250.42755126953125,360.0,370.0,335.0,340.0,1363870000
2006-01-09,250.42755126953125,360.0,365.0,357.5,360.0,817320000
2006-01-16,252.16665649414062,362.5,367.5,350.0,360.0,816320000
2006-01-23,253.90570068359375,365.0,365.0,355.0,360.0,314860000
2006-01-30,257.38385009765625,370.0,370.0,360.0,362.5,295760000
2006-02-06,253.90570068359375,365.0,372.5,360.0,370.0,428110000
2006-02-13,252.16665649414062,362.5,367.5,357.5,362.5,394450000
2006-02-20,241.7322998046875,347.5,362.5,347.5,360.0,499830000
2006-02-27,262.6011657714844,377.5,380.0,350.0,355.0,774900000
2006-03-06,266.07928466796875,382.5,382.5,360.0,375.0,615120000
2006-03-13,279.9919128417969,402.5,405.0,365.0,382.5,1198330000
2006-03-20,273.03564453125,392.5,420.0,390.0,417.5,1052570000
2006-03-27,290.4264221191406,417.5,425.0,395.0,400.0,518310000
2006-04-03,316.51263427734375,455.0,467.5,407.5,417.5,1018730000
2006-04-10,300.8608703613281,432.5,455.0,422.5,455.0,822400000
2006-04-17,328.6861267089844,472.5,492.5,430.0,435.0,922590000
2006-04-24,304.33905029296875,437.5,467.5,435.0,472.5,1291260000
2006-05-01,302.5998840332031,435.0,452.5,427.5,440.0,1092890000
2006-05-08,313.0344543457031,450.0,470.0,432.5,442.5,1431950000
2006-05-15,290.4264221191406,417.5,445.0,400.0,427.5,1463290000
2006-05-22,285.2091064453125,410.0,412.5,387.5,402.5,940590000
2006-05-29,283.4700927734375,407.5,425.0,400.0,415.0,855830000
2006-06-05,276.5137939453125,397.5,417.5,382.5,415.0,1218200000
2006-06-12,296.9447021484375,417.5,417.5,367.5,390.0,1904820000
2006-06-19,289.8322448730469,407.5,417.5,402.5,410.0,386870000
2006-06-26,291.6103210449219,410.0,417.5,387.5,400.0,650670000
2006-07-03,312.94769287109375,440.0,440.0,410.0,427.5,964130000
2006-07-10,293.388427734375,412.5,440.0,407.5,435.0,338370000
2006-07-17,286.2760009765625,402.5,405.0,390.0,412.5,886570000
2006-07-24,286.2760009765625,402.5,407.5,390.0,395.0,1056850000
2006-07-31,298.7227783203125,420.0,437.5,407.5,417.5,1748900000
2006-08-07,291.6103210449219,410.0,425.0,407.5,417.5,1168880000
2006-08-14,305.83526611328125,430.0,435.0,412.5,420.0,1115430000
2006-08-21,314.72576904296875,442.5,450.0,427.5,430.0,1693540000
2006-08-28,321.83819580078125,452.5,455.0,440.0,447.5,1211710000
2006-09-04,318.28204345703125,447.5,460.0,445.0,460.0,1337470000
2006-09-11,323.61639404296875,455.0,455.0,440.0,447.5,753390000
2006-09-18,344.9537048339844,485.0,485.0,455.0,455.0,2961630000
2006-09-25,343.17572021484375,482.5,492.5,477.5,492.5,891300000
2006-10-02,336.0630798339844,472.5,482.5,470.0,475.0,707820000
2006-10-09,332.5069274902344,467.5,472.5,452.5,465.0,1938880000
2006-10-16,340.06378173828125,472.5,485.0,465.0,470.0,1318990000
2006-10-23,340.06378173828125,472.5,472.5,472.5,472.5,0
2006-10-30,340.06378173828125,472.5,480.0,462.5,465.0,1108950000
2006-11-06,363.4545593261719,505.0,510.0,472.5,480.0,1446740000
2006-11-13,359.85601806640625,500.0,510.0,480.0,480.0,1046870000
2006-11-20,392.2430725097656,545.0,555.0,500.0,510.0,948620000
2006-11-27,388.64447021484375,540.0,555.0,515.0,545.0,891020000
2006-12-04,370.651611328125,515.0,540.0,505.0,530.0,843590000
2006-12-11,374.250244140625,520.0,525.0,500.0,510.0,921950000
