Price,Adj Close,Close,High,Low,Open,Volume
Ticker,INDF.JK,INDF.JK,INDF.JK,INDF.JK,INDF.JK,INDF.JK
Date,,,,,,
2000-10-02 00:00:00+00:00,390.2297668457031,775.0,855.0,745.0,850.0,197280500
2000-10-09 00:00:00+00:00,397.7825012207031,790.0,790.0,740.0,775.0,165390000
2000-10-16 00:00:00+00:00,402.81781005859375,800.0,825.0,775.0,790.0,120844500
2000-10-23 00:00:00+00:00,402.81781005859375,800.0,800.0,775.0,800.0,17315000
2000-10-30 00:00:00+00:00,390.2297668457031,775.0,775.0,750.0,775.0,25227500
2000-11-06 00:00:00+00:00,415.4057922363281,825.0,850.0,750.0,775.0,93570000
2000-11-13 00:00:00+00:00,402.81781005859375,800.0,850.0,775.0,825.0,125201500
2000-11-20 00:00:00+00:00,440.58203125,875.0,875.0,775.0,800.0,99150000
2000-11-27 00:00:00+00:00,415.4057922363281,825.0,850.0,800.0,850.0,25891000
2000-12-04 00:00:00+00:00,415.4057922363281,825.0,850.0,800.0,825.0,33358500
2000-12-11 00:00:00+00:00,402.81781005859375,800.0,825.0,775.0,800.0,34469500
2000-12-18 00:00:00+00:00,390.2297668457031,775.0,800.0,750.0,775.0,18012000
2000-12-25 00:00:00+00:00,390.2297668457031,775.0,775.0,775.0,775.0,0
2001-01-01 00:00:00+00:00,402.81781005859375,800.0,825.0,775.0,775.0,41259000
2001-01-08 00:00:00+00:00,402.81781005859375,800.0,800.0,775.0,775.0,25270000
2001-01-15 00:00:00+00:00,415.4057922363281,825.0,825.0,775.0,775.0,58245500
2001-01-22 00:00:00+00:00,427.9938659667969,850.0,875.0,800.0,800.0,67344500
2001-01-29 00:00:00+00:00,553.8745727539062,1100.0,1125.0,825.0,825.0,274307000
2001-02-05 00:00:00+00:00,490.9340515136719,975.0,1275.0,950.0,1150.0,552817000
2001-02-12 00:00:00+00:00,503.522216796875,1000.0,1050.0,950.0,975.0,133450000
2001-02-19 00:00:00+00:00,516.1102294921875,1025.0,1025.0,950.0,975.0,70696500
2001-02-26 00:00:00+00:00,453.1700439453125,900.0,1000.0,875.0,1000.0,159305000
