Price,Adj Close,Close,High,Low,Open,Volume
Ticker,UNVR.JK,UNVR.JK,UNVR.JK,UNVR.JK,UNVR.JK,UNVR.JK
Date,,,,,,
2003-09-01,351.62933349609375,690.0,750.0,605.0,615.0,150067500
2003-09-08,336.341064453125,660.0,690.0,640.0,690.0,68752500
2003-09-15,336.341064453125,660.0,670.0,645.0,660.0,33595000
2003-09-22,338.88922119140625,665.0,680.0,655.0,660.0,34997500
2003-09-29,338.88922119140625,665.0,675.0,655.0,665.0,47355000
2003-10-06,333.7930603027344,655.0,665.0,655.0,665.0,59575000
2003-10-13,333.7930603027344,655.0,665.0,650.0,660.0,42190000
2003-10-20,328.6970520019531,645.0,655.0,620.0,655.0,46800000
2003-10-27,328.6970520019531,645.0,655.0,620.0,645.0,54230000
2003-11-03,331.2450256347656,650.0,655.0,635.0,640.0,39990000
2003-11-10,326.1488342285156,640.0,665.0,640.0,645.0,46090000
2003-11-17,330.66864013671875,635.0,640.0,625.0,640.0,25507500
2003-11-24,330.66864013671875,635.0,635.0,635.0,635.0,0
2003-12-01,341.0833435058594,655.0,695.0,640.0,640.0,114442500
2003-12-08,338.479736328125,650.0,665.0,650.0,655.0,34905000
2003-12-15,356.7055358886719,685.0,690.0,650.0,650.0,112815000
2003-12-22,356.7055358886719,685.0,690.0,680.0,685.0,11162500
2003-12-29,372.32763671875,715.0,755.0,690.0,690.0,99692500
2004-01-05,382.7424621582031,735.0,750.0,705.0,725.0,62607500
2004-01-12,403.572021484375,775.0,775.0,715.0,730.0,52412500
2004-01-19,400.96820068359375,770.0,790.0,750.0,775.0,14682500
2004-01-26,398.3645324707031,765.0,795.0,745.0,770.0,47777500
2004-02-02,400.96820068359375,770.0,770.0,740.0,765.0,27807500
2004-02-09,400.96820068359375,770.0,775.0,760.0,770.0,33750000
2004-02-16,372.32763671875,715.0,765.0,715.0,765.0,99685000
2004-02-23,358.9194641113281,680.0,725.0,670.0,715.0,117282500
2004-03-01,377.3933410644531,715.0,735.0,670.0,680.0,127395000
2004-03-08,361.55859375,685.0,720.0,680.0,710.0,41180000
2004-03-15,374.7543029785156,710.0,715.0,665.0,690.0,47825000
2004-03-22,366.83697509765625,695.0,710.0,680.0,710.0,24322500
2004-03-29,374.7543029785156,710.0,715.0,695.0,695.0,57545000
2004-04-05,387.94989013671875,735.0,750.0,710.0,710.0,94130000
2004-04-12,385.3108215332031,730.0,740.0,710.0,730.0,14400000
2004-04-19,385.3108215332031,730.0,765.0,725.0,730.0,62220000
2004-04-26,387.94989013671875,735.0,755.0,725.0,725.0,74737500
2004-05-03,380.0325012207031,720.0,735.0,710.0,735.0,30070000
